    DEPTH     CALD       TEND       CORR        DEN       NPHI        GRR        SPR       CALR       TENR       RILD       RILM       RFOC       TENS         DT
   94.0000    13.3863   -10.9103     0.0231     2.3849     0.2822    75.9278   -34.6386  -999.2500    18.3792     8.7261     6.9370     9.1586   -44.0209   116.8472
   94.5000    13.4185   -12.7749     0.0353     2.3865     0.2782    76.2368   -34.4880  -999.2500    18.5994     8.8481     6.9825     9.2875   -45.0075   115.7819
   95.0000    13.4208   -20.6147     0.0325     2.3799     0.2791    76.8488   -34.4880  -999.2500    18.8629     9.0342     7.0772     9.4184   -38.4824   115.5539
   95.5000    13.4380   -21.9084     0.0267     2.3762     0.2838    77.7609   -34.3373  -999.2500    11.5478     9.1605     7.1236     9.4849   -39.4619   115.6163
   96.0000    13.4553   -30.5720     0.0271     2.3869     0.2844    79.8797   -34.0361  -999.2500    11.7628     9.2243     7.1703     9.4204   -48.0907   116.4294
   96.5000    13.4875   -31.7092     0.0512     2.3990     0.2792    83.2370   -33.7349  -999.2500    11.9777     9.2243     7.1667     8.9113   -49.0394   117.0179
   97.0000    13.5047   -32.9086     0.0844     2.4058     0.2798    83.8173   -33.1325  -999.2500     4.6626     9.2243     7.2137     8.5514   -49.9881   117.2322
   97.5000    13.5070   -34.1079     0.1026     2.4104     0.2849    83.8244   -32.8313  -999.2500     4.9313     9.2243     7.1611     8.5524   -50.9368   117.0722
   98.0000    13.5093   -35.5330     0.1163     2.4136     0.2914    83.2282   -32.8112  -999.2500     5.1463     9.2243     7.1581     8.5533   -36.7006   116.3883
   98.5000    13.4967   -36.7003     0.1165     2.4137     0.2953    80.8221   -32.6807  -999.2500     5.3464     9.2243     7.1547     8.3204   -37.8864   116.0038
   99.0000    13.4904   -37.8676     0.1212     2.4146     0.2927    80.2259   -32.8313  -999.2500     5.5723     9.2243     7.1025     8.0381   -23.8874   115.7690
   99.5000    13.4864   -39.0349     0.1259     2.4176     0.2805    79.6297   -33.1325  -999.2500     5.7982     9.2243     7.0997     7.8736   -24.8361   115.8336
  100.0000    13.4892   -40.2022     0.0871     2.4200     0.2528    79.0335   -33.5843  -999.2500     6.0241     9.0342     7.0969     7.8198   -48.2063   116.4953
  100.5000    13.4759   -41.3695     0.0783     2.4224     0.2498    80.5507   -34.7357  -999.2500     6.2500     9.0342     7.0444     7.7669   -49.1779   117.0838
  101.0000    13.4788   -42.5368     0.0875     2.4247     0.2525    84.1150   -36.1384  -999.2500     6.4759     9.0971     7.0416     7.7828   -35.1762   117.6722
  101.5000    13.5100   -43.7041     0.0982     2.4263     0.2608    86.6255   -36.7379  -999.2500     6.7018     9.1605     7.0885     7.8096   -28.6612   117.9613
  102.0000    13.5129   -44.9026     0.1091     2.4227     0.2801    87.8331   -36.8857  -999.2500     6.9557     9.4184     7.2841     7.8222   -37.3336   118.2530
  102.5000    13.5291   -38.8343     0.0854     2.4175     0.2818    85.7329   -36.7315  -999.2500     7.1706     9.6920     7.4368     7.8227   -53.2401   118.2401
